Status,Beer_Beerid
Retired (no longer brewed),40216
Rotating/Seasonal,75173
Retired (no longer brewed),13865
Retired (no longer brewed),25809
Retired (no longer brewed),15265
Retired (no longer brewed),67542
Retired (no longer brewed),23425
Retired (no longer brewed),71693
Retired (no longer brewed),15417
Retired (no longer brewed),47008
Retired (no longer brewed),20639
Retired (no longer brewed),24691
Retired (no longer brewed),46717
Retired (no longer brewed),40199
Retired (no longer brewed),12752
Retired (no longer brewed),40178
Retired (no longer brewed),49823
Retired (no longer brewed),15264
Year-round,56893
Rotating/Seasonal,58446
Year-round,72508
Rotating/Seasonal,46178
Retired (no longer brewed),20327
Rotating/Seasonal,57945
Retired (no longer brewed),15700
Retired (no longer brewed),15699
Rotating/Seasonal,56051
Retired (no longer brewed),52730
Retired (no longer brewed),42218
Rotating/Seasonal,66799
Year-round,45638
Retired (no longer brewed),59164
Retired (no longer brewed),26191
Retired (no longer brewed),41673
Retired (no longer brewed),50134
Retired (no longer brewed),28458
Retired (no longer brewed),61063
Retired (no longer brewed),61064
Retired (no longer brewed),56135
Year-round,76726
Retired (no longer brewed),14277
Retired (no longer brewed),14278
Retired (no longer brewed),14279
Retired (no longer brewed),76992
Retired (no longer brewed),25305
Retired (no longer brewed),7929
Retired (no longer brewed),8039
Year-round,16524
Retired (no longer brewed),30347
Retired (no longer brewed),36764
Retired (no longer brewed),43709
Retired (no longer brewed),41494
Retired (no longer brewed),36765
Retired (no longer brewed),41386
Retired (no longer brewed),26054
Retired (no longer brewed),24821
Year-round,28443
Year-round,28442
Retired (no longer brewed),24499
Year-round,28444
Rotating/Seasonal,55009
Retired (no longer brewed),47349
Year-round,47347
Year-round,47350
Year-round,77302
Year-round,48082
Year-round,28634
Retired (no longer brewed),52622
Retired (no longer brewed),46828
Rotating/Seasonal,27504
Year-round,49974
Retired (no longer brewed),39777
Retired (no longer brewed),47898
Retired (no longer brewed),8815
Retired (no longer brewed),77155
Retired (no longer brewed),63353
Rotating/Seasonal,44667
Retired (no longer brewed),39357
Rotating/Seasonal,50495
Year-round,72588
Retired (no longer brewed),20884
Retired (no longer brewed),39780
Retired (no longer brewed),34035
Rotating/Seasonal,73313
Retired (no longer brewed),31015
Year-round,67558
Year-round,67522
Retired (no longer brewed),43788
Rotating/Seasonal,76253
Rotating/Seasonal,74285
Year-round,53209
Year-round,67546
Retired (no longer brewed),31026
Rotating/Seasonal,53751
Year-round,67353
Year-round,70116
Retired (no longer brewed),71418
Retired (no longer brewed),71417
Retired (no longer brewed),36300
Retired (no longer brewed),27654
Retired (no longer brewed),71416
Year-round,71280
Year-round,71421
Retired (no longer brewed),76994
Year-round,77310
Rotating/Seasonal,20725
Retired (no longer brewed),61141
Retired (no longer brewed),16795
Retired (no longer brewed),20439
Rotating/Seasonal,27556
Year-round,43379
Retired (no longer brewed),27555
Retired (no longer brewed),40251
Retired (no longer brewed),40252
Retired (no longer brewed),68819
Retired (no longer brewed),41562
Retired (no longer brewed),41790
Retired (no longer brewed),41564
Retired (no longer brewed),41565
Retired (no longer brewed),41563
Retired (no longer brewed),39868
Retired (no longer brewed),41792
Retired (no longer brewed),41791
Year-round,54942
Year-round,54943
Year-round,13177
Year-round,74944
Retired (no longer brewed),12450
Rotating/Seasonal,56641
Rotating/Seasonal,52727
Year-round,50758
Rotating/Seasonal,49027
Retired (no longer brewed),11557
Retired (no longer brewed),11556
Retired (no longer brewed),11555
Retired (no longer brewed),58466
Retired (no longer brewed),72881
Retired (no longer brewed),51165
Retired (no longer brewed),58354
Retired (no longer brewed),68061
Rotating/Seasonal,55208
Retired (no longer brewed),46963
Retired (no longer brewed),53450
Retired (no longer brewed),60404
Retired (no longer brewed),55510
Retired (no longer brewed),56244
Retired (no longer brewed),68487
Rotating/Seasonal,65469
Retired (no longer brewed),56593
Year-round,75808
Year-round,76292
Year-round,75656
Retired (no longer brewed),75960
Retired (no longer brewed),73730
Rotating/Seasonal,73728
Retired (no longer brewed),33517
Retired (no longer brewed),48075
Retired (no longer brewed),58125
Retired (no longer brewed),75819
Retired (no longer brewed),63962
Retired (no longer brewed),41460
Retired (no longer brewed),66162
Retired (no longer brewed),71887
Retired (no longer brewed),62210
Retired (no longer brewed),71780
Retired (no longer brewed),41483
Retired (no longer brewed),58351
Retired (no longer brewed),74549
Retired (no longer brewed),73177
Retired (no longer brewed),65593
Retired (no longer brewed),67708
Year-round,69484
Year-round,75483
Retired (no longer brewed),60132
Retired (no longer brewed),59898
Year-round,70204
Retired (no longer brewed),60771
Rotating/Seasonal,60772
Year-round,73148
Year-round,56783
Year-round,59895
Year-round,75494
Year-round,69009
Rotating/Seasonal,75804
Rotating/Seasonal,38059
Year-round,38055
Rotating/Seasonal,38057
Retired (no longer brewed),44733
Retired (no longer brewed),51282
Retired (no longer brewed),49563
Retired (no longer brewed),7762
Retired (no longer brewed),1730
Retired (no longer brewed),23604
Retired (no longer brewed),23640
Retired (no longer brewed),23639
Retired (no longer brewed),16788
Retired (no longer brewed),56815
Retired (no longer brewed),14475
Retired (no longer brewed),5330
Retired (no longer brewed),16791
Retired (no longer brewed),29637
Retired (no longer brewed),40312
Retired (no longer brewed),61881
Retired (no longer brewed),28236
Rotating/Seasonal,77021
Rotating/Seasonal,77019
Retired (no longer brewed),54643
Rotating/Seasonal,53829
Rotating/Seasonal,64480
Retired (no longer brewed),71009
Retired (no longer brewed),8990
Retired (no longer brewed),16389
Retired (no longer brewed),60828
Retired (no longer brewed),22085
Retired (no longer brewed),15499
Retired (no longer brewed),40512
Retired (no longer brewed),15129
Year-round,64582
Rotating/Seasonal,40059
Retired (no longer brewed),8702
Retired (no longer brewed),35775
Retired (no longer brewed),65873
Retired (no longer brewed),34853
Retired (no longer brewed),57878
Retired (no longer brewed),15614
Retired (no longer brewed),30081
Retired (no longer brewed),12333
Retired (no longer brewed),31430
Retired (no longer brewed),31429
Year-round,57073
Year-round,57072
Rotating/Seasonal,68153
Year-round,66558
Rotating/Seasonal,18784
Year-round,49962
Rotating/Seasonal,71146
Year-round,67590
Retired (no longer brewed),39974
Retired (no longer brewed),76935
Rotating/Seasonal,77063
Retired (no longer brewed),40498
Rotating/Seasonal,57233
Retired (no longer brewed),12145
Retired (no longer brewed),36538
Retired (no longer brewed),26918
Retired (no longer brewed),4593
Retired (no longer brewed),65358
Retired (no longer brewed),54388
Retired (no longer brewed),40812
Retired (no longer brewed),68613
Retired (no longer brewed),26051
Retired (no longer brewed),55602
Retired (no longer brewed),56255
Retired (no longer brewed),52354
Retired (no longer brewed),51956
Retired (no longer brewed),38315
Retired (no longer brewed),53480
Retired (no longer brewed),57395
Retired (no longer brewed),12819
Retired (no longer brewed),56254
Retired (no longer brewed),37365
Retired (no longer brewed),69509
Retired (no longer brewed),57793
Retired (no longer brewed),66812
Retired (no longer brewed),56251
Retired (no longer brewed),75621
Retired (no longer brewed),35045
Retired (no longer brewed),61121
Retired (no longer brewed),60318
Retired (no longer brewed),33790
Retired (no longer brewed),38078
Retired (no longer brewed),18753
Retired (no longer brewed),65012
Retired (no longer brewed),38746
Retired (no longer brewed),66733
Retired (no longer brewed),37176
Retired (no longer brewed),36989
Retired (no longer brewed),27653
Retired (no longer brewed),27655
Retired (no longer brewed),27656
Retired (no longer brewed),27671
Retired (no longer brewed),29234
Retired (no longer brewed),17196
Retired (no longer brewed),68174
Retired (no longer brewed),68172
Retired (no longer brewed),68173
Retired (no longer brewed),31378
Year-round,31269
Retired (no longer brewed),31554
Retired (no longer brewed),28602
Year-round,47468
Year-round,45195
Year-round,50182
Retired (no longer brewed),43378
Year-round,66285
Retired (no longer brewed),37352
Retired (no longer brewed),5304
Rotating/Seasonal,5302
Retired (no longer brewed),66178
Retired (no longer brewed),5299
Retired (no longer brewed),27077
Retired (no longer brewed),66288
Retired (no longer brewed),17022
Retired (no longer brewed),16948
Retired (no longer brewed),14476
Retired (no longer brewed),17053
Retired (no longer brewed),16783
Year-round,37151
Retired (no longer brewed),14296
Year-round,65235
Year-round,61852
Retired (no longer brewed),18036
Year-round,70848
Year-round,68528
Year-round,6721
Year-round,63350
Retired (no longer brewed),63354
Retired (no longer brewed),43156
